Method;Value;Need quick results;Very restricted budget;Usability important;Uncertain specification;Difficult to involve users;No access to users;Some users have disabilities;Mostly first time users;Complex task;Many tasks;Safety or business critical system;Organisational changes needed;Efficiency or accuracy is important;Adaptation of an existing system;A well understood product;Customisable product;General purpose: used in many different contexts;No usability expertise available
Focus groups;100;3;2;5;5;2;1;3;5;4;4;3;5;2;3;3;4;4;4;3;3;4;3
Context of use analysis;100;3;5;5;5;3;3;3;3;5;5;5;5;3;3;2;3;5;2;3;3;3;3
Work context analysis;100;3;5;5;5;3;3;3;3;5;5;5;5;3;3;2;3;2;5;3;3;1;4
Context of use analysis;100;3;5;5;5;3;3;3;3;5;5;5;5;3;3;2;3;5;3;3;3;3;3
Work context analysis;100;3;5;5;5;3;3;3;3;5;5;5;5;3;3;2;3;5;2;3;3;1;3
Define the intended context of use including boundaries;100;3;4;5;5;4;4;3;3;5;5;5;5;3;3;2;3;5;3;3;3;3;3
Prioritize requirements;100;3;3;5;5;3;3;3;3;5;5;5;5;5;3;2;3;4;3;3;3;3;3
Establish performance and satisfaction goals for specific scenarios of use;100;3;3;5;5;3;3;4;3;3;3;5;3;5;4;3;3;4;3;3;3;3;3
Define detailed user interface requirements;100;3;3;4;2;3;3;4;3;3;3;3;3;4;3;3;3;4;3;3;3;3;3
Personas;100;3;3;4;5;5;5;4;3;3;3;4;4;3;4;3;3;4;2;3;3;3;3
Photo study;101;4;4;5;5;2;1;4;3;4;4;3;3;3;3;2;3;4;2;3;3;4;1
Preliminary field visit;101;4;4;5;5;2;1;4;3;5;5;5;5;5;4;1;3;3;3;3;3;3;3
Participatory workshops;101;4;3;5;5;2;1;4;4;4;4;5;5;4;3;3;4;4;2;3;3;1;3
Consult stakeholders;101;4;4;5;5;5;5;5;4;5;5;5;5;5;5;3;4;4;5;3;3;3;3
Scenarios;101;4;4;5;5;3;3;3;3;5;3;5;5;5;4;3;3;4;3;3;3;3;3
Braindrawing;102;5;5;5;5;3;3;3;3;4;4;4;4;3;4;2;3;4;2;3;3;3;3
Brainstorming;102;5;5;5;5;3;3;3;3;4;4;4;4;3;3;2;3;5;3;3;3;3;3
Success critical stakeholder identification;102;5;5;5;3;5;5;3;3;3;3;5;5;4;3;3;3;3;3;3;3;3;4
